location	habitat_type	community	isolate	OD_transferrin	ODrel_transferrin	PVD_transferrin	PVDrel_transferrin	OD_FeCl3	ODrel_FeCl3	OD_dpd	ODrel_dpd	PVDbyOD_tr	PVD_dpd	PVDrel_dpd
Irchel	pond	A	3A1	0.1161	0.5125	25481.6	0.8834	0.7959	1.0877	0.3108	0.9936	211187.8	19336.0	0.7306
Irchel	pond	A	3A2	0.1553	0.6857	8889.0	0.3082	0.6762	0.9241	0.2080	0.6650	57887.7	9239.3	0.3491
Irchel	pond	A	3A3	0.3117	1.3760	31069.0	1.0771	0.7549	1.0316	0.2288	0.7314	101772.8	19485.7	0.7363
Irchel	pond	A	3A4	0.1550	0.6841	31562.0	1.0942	0.2185	0.2986	0.0886	0.2833	214927.1	12029.3	0.4545
Irchel	pond	A	3A5	0.0855	0.3776	0.4	0.0000	0.2157	0.2948	0.0464	0.1483	4.8	5.7	0.0002
Irchel	pond	A	3A6	0.2405	1.0615	24064.6	0.8343	0.9326	1.2745	0.4524	1.4464	104345.0	22206.7	0.8391
Irchel	pond	A	3A7	0.2160	0.9533	25885.0	0.8974	0.2730	0.3731	0.3253	1.0400	121908.2	21856.7	0.8259
Irchel	pond	A	3A8	0.1873	0.8266	31970.6	1.1084	0.4397	0.6009	0.0425	0.1358	171488.3	12919.7	0.4882
Irchel	pond	A	3A9	0.1736	0.7663	37998.6	1.3173	0.8314	1.1362	0.2878	0.9203	219370.7	32710.3	1.2360
Irchel	pond	A	3A10	0.2616	1.1547	24525.0	0.8502	0.7756	1.0600	0.1347	0.4307	95661.2	23903.7	0.9032
Irchel	pond	A	3A11	0.1205	0.5321	25328.6	0.8781	0.5821	0.7956	0.2535	0.8104	211610.2	20485.3	0.7741
Irchel	pond	A	3A12	0.1238	0.5465	9704.6	0.3364	0.7354	1.0051	0.2179	0.6966	78431.0	9612.7	0.3632
Irchel	pond	A	3A13	0.2241	0.9894	31767.6	1.1013	0.6360	0.8691	0.2226	0.7118	141803.0	21011.3	0.7939
Irchel	pond	A	3A14	0.2369	1.0457	35144.0	1.2184	0.7481	1.0224	0.1841	0.5886	155874.2	19634.0	0.7419
Irchel	pond	A	3A15	0.0960	0.4239	3718.6	0.1289	0.4847	0.6624	0.1305	0.4171	39283.7	3438.7	0.1299
Irchel	pond	A	3A16	0.1553	0.6855	23660.6	0.8203	0.6541	0.8939	0.3555	1.1367	153216.0	19995.7	0.7556
Irchel	pond	A	3A17	0.0969	0.4279	18038.3	0.6254	0.6850	0.9361	0.0896	0.2865	187521.2	17731.0	0.6700
Irchel	pond	A	3A18	0.2171	0.9583	40208.3	1.3939	0.4716	0.6445	0.0449	0.1436	186881.4	21057.0	0.7957
Irchel	pond	A	3A19	0.1306	0.5767	27055.3	0.9380	0.6127	0.8373	0.0441	0.1411	208521.2	6809.7	0.2573
Irchel	pond	A	3A20	0.4204	1.8558	37240.3	1.2911	0.8614	1.1773	0.2977	0.9519	90773.1	29163.0	1.1020
Irchel	pond	B	3B1	0.3356	1.6567	26319.4	0.9169	0.7396	0.9540	0.2808	1.1285	80707.6	28311.7	1.0339
Irchel	pond	B	3B2	0.2537	1.2523	30044.4	1.0467	0.7638	0.9852	0.1353	0.5438	120334.6	21949.0	0.8015
Irchel	pond	B	3B3	0.2758	1.3612	27219.7	0.9483	0.7559	0.9750	0.1556	0.6253	99270.9	17350.0	0.6336
Irchel	pond	B	3B4	0.3077	1.5190	28383.0	0.9888	0.8212	1.0592	0.2339	0.9397	92464.8	26458.0	0.9662
Irchel	pond	B	3B5	0.1105	0.5455	1056.0	0.0368	0.4738	0.6112	0.0241	0.0969	9642.9	207.3	0.0076
Irchel	pond	B	3B6	0.2339	1.1544	27681.4	0.9644	0.8536	1.1010	0.2853	1.1465	121883.4	25076.3	0.9157
Irchel	pond	B	3B7	0.1592	0.7858	31049.7	1.0817	0.4631	0.5973	0.0232	0.0933	216024.5	4887.3	0.1785
Irchel	pond	B	3B8	0.3762	1.8568	26826.4	0.9346	0.7776	1.0031	0.2333	0.9373	71717.7	23013.3	0.8404
Irchel	pond	B	3B9	0.1818	0.8972	13265.4	0.4622	0.8278	1.0678	0.1526	0.6133	73497.6	16115.0	0.5885
Irchel	pond	B	3B10	0.3452	1.7039	28246.7	0.9841	0.7240	0.9339	0.1449	0.5821	81971.7	18676.0	0.6820
Irchel	pond	B	3B11	0.2678	1.3219	47143.0	1.6424	0.4367	0.5633	0.0811	0.3259	205832.7	25122.3	0.9174
Irchel	pond	B	3B12	0.0709	0.3498	18184.0	0.6335	0.2984	0.3850	0.0548	0.2201	261266.6	6568.7	0.2399
Irchel	pond	B	3B13	0.4337	2.1409	50324.4	1.7533	0.4810	0.6204	0.0507	0.2038	118783.9	14016.0	0.5118
Irchel	pond	B	3B14	0.2389	1.1791	35254.0	1.2282	0.3538	0.4564	0.0633	0.2544	156940.5	16095.0	0.5878
Irchel	pond	B	3B15	0.1542	0.7613	44537.0	1.5516	0.4321	0.5574	0.0542	0.2178	289029.1	11388.3	0.4159
Irchel	pond	B	3B16	0.2201	1.0864	30368.7	1.0580	0.8220	1.0604	0.2818	1.1322	138558.3	23383.7	0.8539
Irchel	pond	B	3B17	0.1723	0.8503	19469.0	0.6783	0.7351	0.9483	0.1507	0.6056	113078.3	14634.7	0.5344
Irchel	pond	B	3B18	0.0776	0.3831	29694.4	1.0345	0.4743	0.6118	0.2047	0.8225	383001.1	22231.0	0.8118
Irchel	pond	B	3B19	0.1338	0.6606	35447.0	1.2349	0.8434	1.0879	0.0517	0.2076	268347.5	21483.7	0.7845
Irchel	pond	B	3B20	0.0981	0.4844	22074.4	0.7691	0.7133	0.9201	0.1168	0.4692	225049.5	14714.7	0.5374
Irchel	pond	C	3C1	0.1185	0.7179	0.0	0.0000	0.1952	0.2557	0.0068	0.0275	0.0	14.7	0.0006
Irchel	pond	C	3C2	0.0833	0.5048	9874.7	0.3758	0.7572	0.9918	0.1154	0.4693	118560.1	11601.7	0.4423
